movie_id,movie_name,year,certificate,runtime,genre,rating,description,director,director_id,star,star_id,votes,gross(in_$),path
tt0056166 ,Lash of Lust                                     ,1972,X        ,       ,"Action, Drama, Western      ",2.6,The man who hears with his eyes and speaks with his gun. The 1972 Al Adamson cowboy post-western movie set near Charles Manson's ranch.                                                                                                                                                                     ,Al Adamson                             ,/name/nm0011467/,"Gary Kent, 
Bambi Allen, 
Rene Bond, 
John 'Bud' Cardos                      ","/name/nm0448743/,/name/nm0020281/,/name/nm0094023/,/name/nm0004616/                 ",32,,D:/demo/output
tt0060144 ,Aventura en las islas Cíes                      ,1972,         ,82 min ,Adventure                   ,5.8,"A group of teenagers discover, thanks to the stories of an old fisherman, that there is a hidden treasure in the Cíes Islands, near where they live. From there they will try to get money to finance their expedition in search of loot.                                                                  ",Luis María Delgado                    ,/name/nm0217005/,"José Bódalo, 
Óscar D. Pastrana, 
Inmaculada Gómez Acebo, 
Ricardo Díaz ","/name/nm0126960/,/name/nm0665155/,/name/nm0350855/,/name/nm0246728/                 ",20,,D:/demo/output
tt0064143 ,Siege of Terror                                  ,1972,         ,90 min ,"Horror, Thriller            ",3.9,"At the Grand Hotel in Miami, Carla falls into the arms of her husband, the eminent Dr. Warren, and confesses to having seen Nick, the man he killed in New York, at the airport - Carla was a...                See full summary »                                                                        ",Luis Marquina                          ,/name/nm0549893/,"Libertad Leblanc, 
Tony Kendall, 
Carlos Piñar, 
Riccardo Garrone           ","/name/nm0495720/,/name/nm0447652/,/name/nm0686282/,/name/nm0308523/                 ",23,,D:/demo/output
tt0064143 ,Siege of Terror                                  ,1972,         ,90 min ,"Horror, Thriller            ",3.9,"At the Grand Hotel in Miami, Carla falls into the arms of her husband, the eminent Dr. Warren, and confesses to having seen Nick, the man he killed in New York, at the airport - Carla was a...                See full summary »                                                                        ",Luis Marquina                          ,/name/nm0549893/,"Libertad Leblanc, 
Tony Kendall, 
Carlos Piñar, 
Riccardo Garrone           ","/name/nm0495720/,/name/nm0447652/,/name/nm0686282/,/name/nm0308523/                 ",23,,D:/demo/output
tt0065424 ,Sweet Kill                                       ,1972,R        ,85 min ,"Horror, Thriller            ",5,"Horror and suspense in the story of a psychotic maniac who literally ""loves"" women to death.                                                                                                                                                                                                                ",Curtis Hanson                          ,/name/nm0000436/,"Tab Hunter, 
Cherie Latimer, 
Nadyne Turney, 
Isabel Jewell                  ","/name/nm0002147/,/name/nm0490193/,/name/nm0877967/,/name/nm0422436/                 ",398,,D:/demo/output
tt0065424 ,Sweet Kill                                       ,1972,R        ,85 min ,"Horror, Thriller            ",5,"Horror and suspense in the story of a psychotic maniac who literally ""loves"" women to death.                                                                                                                                                                                                                ",Curtis Hanson                          ,/name/nm0000436/,"Tab Hunter, 
Cherie Latimer, 
Nadyne Turney, 
Isabel Jewell                  ","/name/nm0002147/,/name/nm0490193/,/name/nm0877967/,/name/nm0422436/                 ",398,,D:/demo/output
tt0065538 ,Chanoc contra el tigre y el vampiro              ,1972,         ,85 min ,"Action, Horror, Adventure   ",5.6,Chanoc must defeat an evil vampire known as Count Frankenhausen.                                                                                                                                                                                                                                            ,Gilberto Martínez Solares             ,/name/nm0554924/,"Germán Valdés, 
Gregorio Casal, 
Lina Marín, 
Aurora Clavel               ","/name/nm0848910/,/name/nm0142780/,/name/nm0555959/,/name/nm0165411/                 ",46,,D:/demo/output
tt0065538 ,Chanoc contra el tigre y el vampiro              ,1972,         ,85 min ,"Action, Horror, Adventure   ",5.6,Chanoc must defeat an evil vampire known as Count Frankenhausen.                                                                                                                                                                                                                                            ,Gilberto Martínez Solares             ,/name/nm0554924/,"Germán Valdés, 
Gregorio Casal, 
Lina Marín, 
Aurora Clavel               ","/name/nm0848910/,/name/nm0142780/,/name/nm0555959/,/name/nm0165411/                 ",46,,D:/demo/output
tt0065538 ,Chanoc contra el tigre y el vampiro              ,1972,         ,85 min ,"Action, Horror, Adventure   ",5.6,Chanoc must defeat an evil vampire known as Count Frankenhausen.                                                                                                                                                                                                                                            ,Gilberto Martínez Solares             ,/name/nm0554924/,"Germán Valdés, 
Gregorio Casal, 
Lina Marín, 
Aurora Clavel               ","/name/nm0848910/,/name/nm0142780/,/name/nm0555959/,/name/nm0165411/                 ",46,,D:/demo/output
tt0065660 ,"Dracula, Prisoner of Frankenstein                ",1972,         ,85 min ,Horror                      ,4.1,"Dracula kills another innocent victim and Dr. Seward decides it's time to wipe him off the face of the earth. Armed with a hammer and a wooden stake, he arrives at Castle Dracula and duly ...                See full summary »                                                                         ",Jesús Franco                          ,/name/nm0001238/,"Dennis Price, 
Howard Vernon, 
Paca Gabaldón, 
Alberto Dalbés              ","/name/nm0696866/,/name/nm0894677/,/name/nm0299929/,/name/nm0197623/                 ",760,,D:/demo/output
tt0065750 ,Fury of the Wolfman                              ,1972,PG       ,86 min ,Horror                      ,3.7,"A man has had a werewolf curse cast upon him. If he doesn't get rid of it, he turns into a killer werewolf when the moon is full.                                                                                                                                                                           ",José María Zabalza                   ,/name/nm0951373/,"Paul Naschy, 
Perla Cristal, 
Miguel de la Riva, 
Mark Stevens               ","/name/nm0596701/,/name/nm0188051/,/name/nm0478904/,/name/nm0828594/                 ",862,187691,D:/demo/output
tt0065956 ,A kurtalábú pásztor                           ,1972,         ,70 min ,Adventure                   ,,"Mail  for translation. Pletyka, az ugyes kis tacsko elindul megkeresni baratjat, a kameruni kecsket. Kulonbozo kalandok utan hazaernek elhagyott kis gazdajukhoz.                                                                                                                                           ",István Homoki Nagy                    ,/name/nm0393025/,                                                                             ,                                                                                    ,,,D:/demo/output
tt0066076 ,El metiche                                       ,1972,         ,       ,"Comedy, Family              ",5.2,Capulina (Gaspar Henaine) is a busybody that causes worse problems for people than they do before Capulina tries to help them.                                                                                                                                                                              ,Gilberto Martínez Solares             ,/name/nm0554924/,"Gaspar Henaine, 
Mónica Serna, 
Enrique Pontón, 
Laila Novak               ","/name/nm0376228/,/name/nm0785275/,/name/nm0690730/,/name/nm1142268/                 ",21,,D:/demo/output
tt0066192 ,Out 1: Spectre                                   ,1972,         ,253 min,"Comedy, Drama, Thriller     ",7.2,"A shorter version of Out 1 (1971), however some of the omitted scenes of the long version are included.                                                                                                                                                                                                     ",Jacques Rivette                        ,/name/nm0729626/,"Pierre Baillot, 
Gilette Barbier, 
Jean-Pierre Bastid, 
Juliet Berto         ","/name/nm0047623/,/name/nm0053617/,/name/nm0060483/,/name/nm0078155/                 ",400,,D:/demo/output
tt0066297 ,El rey de Acapulco                               ,1972,         ,85 min ,"Comedy, Family              ",5.1,Capulina arrives in Acapulco and befriends an American woman who owns a yacht. He also helps her earn money to pay off some debts.                                                                                                                                                                          ,Gilberto Martínez Solares             ,/name/nm0554924/,"Gaspar Henaine, 
Jacqueline Voltaire, 
Lina Marín, 
Carlos Agostí          ","/name/nm0376228/,/name/nm0901808/,/name/nm0555959/,/name/nm0013242/                 ",17,,D:/demo/output
tt0066350 ,"Sei iellato, amico hai incontrato Sacramento     ",1972,         ,99 min ,"Action, Comedy, Western     ",4.8,"This fast-moving tale revolves around the kidnaping of a boxer's daughter. The boxer pays the ransom money but the girl is still not released. Her boyfriend decides to get her back his own way, killing her ruthless captor in a fierce duel.                                                             ",Giorgio Cristallini                    ,/name/nm0188061/,"Ty Hardin, 
Christian Hay, 
Jenny Atkins, 
Giacomo Rossi Stuart              ","/name/nm0362249/,/name/nm0370477/,/name/nm0040614/,/name/nm0744351/                 ",106,,D:/demo/output
tt0066417 ,Street of a Thousand Pleasures                   ,1972,X        ,76 min ,"Action, Adventure           ",4.6,"An American scientist prevents an assassination attempt on an oil sheik, who opens the gates of his harem to his saviour. There, nude girls invite him to explore their bodies. But has anyone escaped from the street of a thousand pleasures?                                                             ",William Rotsler                        ,/name/nm0197514/,"John Tull, 
Sandy Jackson, 
Nancy Young, 
Terry Benford                      ","/name/nm0876356/,/name/nm0414027/,/name/nm0949912/,/name/nm0071012/                 ",255,,D:/demo/output
tt0066417 ,Street of a Thousand Pleasures                   ,1972,X        ,76 min ,"Action, Adventure           ",4.6,"An American scientist prevents an assassination attempt on an oil sheik, who opens the gates of his harem to his saviour. There, nude girls invite him to explore their bodies. But has anyone escaped from the street of a thousand pleasures?                                                             ",William Rotsler                        ,/name/nm0197514/,"John Tull, 
Sandy Jackson, 
Nancy Young, 
Terry Benford                      ","/name/nm0876356/,/name/nm0414027/,/name/nm0949912/,/name/nm0071012/                 ",255,,D:/demo/output
tt0066477 ,Kung Fu Master - Bruce Lee Style                 ,1972,R        ,84 min ,Action                      ,5.9,Two undercover agents pretend to be prisoners in order to infiltrate a smuggling gang and break up their operation.                                                                                                                                                                                         ,Joseph Velasco                         ,/name/nm0156966/,"Sing Chen, 
Yung Henry Yu, 
Hsin Ling, 
Lik Cheung                           ","/name/nm0151080/,/name/nm0527863/,/name/nm1296843/,/name/nm0496968/                 ",51,,D:/demo/output
tt0066660 ,George!                                          ,1972,G        ,86 min ,"Comedy, Family              ",6.7,"After a St. Bernard named George is given to a relative by its owner, he causes mischief in the neighboring town and for his new owner. After enough terror while trying to get a girl, the ...                See full summary »                                                                         ",Wallace C. Bennett                     ,/name/nm0072112/,"Marshall Thompson, 
Jack Mullaney, 
Ingeborg Schöner, 
Ursula von Wiese     ","/name/nm0860471/,/name/nm0611955/,/name/nm0778204/,/name/nm0903231/                 ",110,,D:/demo/output
tt0066756 ,Alta tensión                                    ,1972,         ,91 min ,"Crime, Thriller             ",6.6,"José, a young mechanic, arrives in Madrid to make it big. After being conned he loses his savings, and is taken in by Elisa, a photographer. She introduces him to Pablo and Laura. Laura ...                See full summary »                                                                          ",Julio Buchs                            ,/name/nm0118273/,"Marisa Mell, 
Gabriele Ferzetti, 
Juan Luis Galiardo, 
Helga Liné           ","/name/nm0577867/,/name/nm0275213/,/name/nm0302080/,/name/nm0513298/                 ",118,,D:/demo/output
tt0066756 ,Alta tensión                                    ,1972,         ,91 min ,"Crime, Thriller             ",6.6,"José, a young mechanic, arrives in Madrid to make it big. After being conned he loses his savings, and is taken in by Elisa, a photographer. She introduces him to Pablo and Laura. Laura ...                See full summary »                                                                          ",Julio Buchs                            ,/name/nm0118273/,"Marisa Mell, 
Gabriele Ferzetti, 
Juan Luis Galiardo, 
Helga Liné           ","/name/nm0577867/,/name/nm0275213/,/name/nm0302080/,/name/nm0513298/                 ",118,,D:/demo/output
tt0066758 ,Amar Prem                                        ,1972,Not Rated,143 min,"Drama, Musical, Romance     ",8,A village woman abandoned by her husband is forced into prostitution in Kolkata and forms nameless yet strong relations with a wealthy patron as well as an abused boy in the neighbourhood.                                                                                                                ,Shakti Samanta                         ,/name/nm0759662/,"Rajesh Khanna, 
Sharmila Tagore, 
Sujit Kumar, 
Bindu Desai                  ","/name/nm0004435/,/name/nm0846616/,/name/nm0474895/,/name/nm0082848/                 ",1806,,D:/demo/output
tt0066773 ,Die Angst des Tormanns beim Elfmeter             ,1972,         ,101 min,"Drama, Sport                ",6.6,Goalkeeper Josef Bloch is ejected during a game for foul play. He leaves the field and goes to spend the night with a cinema cashier.                                                                                                                                                                       ,Wim Wenders                            ,/name/nm0000694/,"Arthur Brauss, 
Kai Fischer, 
Erika Pluhar, 
Libgart Schwarz                 ","/name/nm0105973/,/name/nm0279007/,/name/nm0687546/,/name/nm0777617/                 ",2039,,D:/demo/output
tt0066798 ,Money Money Money                                ,1972,R        ,113 min,"Adventure, Comedy, Crime    ",6.8,"When they realize the times are changing, five crooks decide to switch from bank robberies to personality abductions. Among their hostages are singer Johnny Hallyday and an ambassador in ...                See full summary »                                                                          ",Claude Lelouch                         ,/name/nm0500988/,"Lino Ventura, 
Jacques Brel, 
Charles Denner, 
Johnny Hallyday               ","/name/nm0893341/,/name/nm0107035/,/name/nm0219342/,/name/nm0002776/                 ",2366,175992,D:/demo/output
